Identifiant;Commune du lieu d'intervention;Type d'intervention;Numéro de la voie;Type de voie;Nom de la voie;Préfixe de la voie;location
5407;LA CHAPELLE BASSE MER;ACCIDENT VOIE PUBLIQUE;;;BOIRE LIVARD;LA;47.2679969419, -1.36626984527
5416;LA CHAPELLE HEULIN;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES- CHOLET;;47.1594792688, -1.34851060248
5418;LA CHAPELLE LAUNAY;ACCIDENT VOIE PUBLIQUE;;RUE;BAS MATZ;DU;47.3749915183, -1.95645922078
5421;LA CHAPELLE SAINT SAUVEUR;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D22 RTE DE BELLIGNE;;47.4474067576, -0.999644378497
5426;LA CHAPELLE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BROSSE;LA;47.3335200102, -1.56763123646
5427;LA CHAPELLE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;EPAU;L';47.3129934212, -1.57111062713
5428;LA CHAPELLE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D39 RTE DE GRANDCHAMPS;;47.3025683541, -1.55497583833
5433;LA CHAPELLE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;NOUE VERRIERE;LA;47.277405124, -1.57093104662
5439;LA CHAPELLE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;BERANGERAIS;DE LA;47.2741995842, -1.55144180105
5440;LA CHAPELLE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PROVINCE - PARIS;;47.2723082071, -1.55518154657
5445;LA CHEVROLIERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;THUBERT;;47.0990895122, -1.56337287736
5448;LA CHEVROLIERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BOIS CLAIR;LE;47.0803470872, -1.57923088896
5449;LA CHEVROLIERE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;TOURNEBRIDE;DE;47.0799602716, -1.56517290875
5459;LA HAYE FOUASSIERE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D359 RTE DE VERTOU;;47.1575483898, -1.41416939356
5461;LA MARNE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS MACHECOUL-A83;;47.0022359798, -1.72593593695
5463;LA MEILLERAYE DE BRETAGNE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CHENAIE;LA;47.5778029789, -1.42913096723
5468;LA PLAINE SUR MER;ACCIDENT VOIE PUBLIQUE;;RUE;CROIX CHOLET;DE LA;47.1437126915, -2.20156052222
5469;LA PLANCHE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;NONNAIRE;;47.0363907052, -1.46962556403
5473;LA REMAUDIERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BREVERE;LA;47.2438668597, -1.25503898829
5481;LA TURBALLE;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;BELMONT;DE;47.3578115589, -2.51986074939
5491;LE BIGNON;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GROS CAILLOUX;LES;47.1131367548, -1.47859690568
5499;LE CELLIER;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;ROBINIERE;LA;47.3334116557, -1.36322836558
5505;LE FRESNE SUR LOIRE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PROVINCE - PARIS;;47.4204717449, -0.95458183673
5506;LE FRESNE SUR LOIRE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PROVINCE - PARIS;;47.4204717449, -0.95458183673
5508;LE GAVRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D35 RTE DE PLESSE;;47.5195526884, -1.79120412959
5514;LE LANDREAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;RACAPE;;47.2110147568, -1.3087237548
5519;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;;ROND-POINT,GIRATOIRE;SAINT JULIEN DE CONCELLES;PORTE DE;47.2443668997, -1.36062712041
5520;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;3;RUE;MURAILLES;DES;47.2398912079, -1.34936889737
5522;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;63;ROUTE;NANTES;DE;47.2373246598, -1.36146273259
5531;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;POUIVETIERE;LA;47.2128439934, -1.35593854241
5534;LE PALLET;ACCIDENT VOIE PUBLIQUE;;ROUTE;COTE DES GRANDS PRIMEAUX;;47.149551382, -1.36097600103
5538;LE PALLET;ACCIDENT VOIE PUBLIQUE;;RUE;PLESSIS GUERY;DU;47.1373723384, -1.33688094661
5540;LE PALLET;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;LANDAIS;LES;47.1322767909, -1.32382344434
5541;LE PALLET;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D149 RTE DE CLISSON;;47.131794427, -1.32426557332
5548;LE TEMPLE DE BRETAGNE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D49 RTE DE CORDEMAIS;;47.3262832166, -1.79534264396
5555;LES SORINIERES;ACCIDENT VOIE PUBLIQUE;4;RUE;ILETTE;DE L';47.1533149664, -1.5312480112
